train_team,MinAtar/Asterix-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,MinAtar/Freeway-v0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Seaquest-v0,MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/SpaceInvaders-v0
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,0.004533333333333333,0.008,6.666666666666667e-05,0.00013333333333333334,6.666666666666667e-05,6.666666666666667e-05,0.0046,0.012266666666666667,0.021599999999999998,0.0,6.666666666666667e-05,0.0008666666666666666,0.0,0.0032,0.011733333333333332,0.024466666666666664,0.02946666666666667,6.666666666666667e-05,0.0,0.0007999999999999999,6.666666666666667e-05,0.010066666666666666,0.037733333333333334,0.08106666666666666,0.0,6.666666666666667e-05,6.666666666666667e-05,0.00039999999999999996,0.00013333333333333334,0.04253333333333333,0.11106666666666666
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0+MinAtar/Freeway-v0,0.004866666666666667,0.0084,0.0,0.0,0.0,0.0,0.0018666666666666666,0.0015333333333333334,0.0052,0.0,0.0,0.0,0.0,0.0009333333333333333,0.0008,0.0034666666666666665,0.0294,0.0,0.0,0.0,0.0,0.0008666666666666666,0.0008666666666666666,0.007200000000000001,0.0,6.666666666666667e-05,0.0,0.0,0.00039999999999999996,0.00019999999999999998,0.0
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,0.005066666666666666,0.011466666666666667,0.0012,0.0015333333333333334,0.001,0.0017333333333333333,0.0041333333333333335,0.0033333333333333335,0.009933333333333334,0.0013333333333333333,0.0018666666666666666,0.0014666666666666667,0.0,0.0024,0.0020666666666666667,0.0061333333333333335,0.04426666666666667,0.001,0.0028666666666666667,0.0020666666666666667,0.0011333333333333332,0.004066666666666666,0.0042,0.019266666666666668,0.0023333333333333335,0.0015333333333333334,0.0,0.0026000000000000003,0.0002666666666666666,0.0008666666666666666,0.009
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0+MinAtar/Seaquest-v0,0.006466666666666667,0.0126,0.0002666666666666666,6.666666666666667e-05,0.0002666666666666666,0.0004,0.0034000000000000002,0.002933333333333333,0.012733333333333333,0.0003333333333333333,6.666666666666667e-05,0.0004,0.0002666666666666666,0.0016666666666666668,0.0032666666666666664,0.011999999999999999,0.04293333333333333,0.00013333333333333334,0.00019999999999999998,0.0008666666666666666,0.00013333333333333334,0.0044666666666666665,0.004066666666666667,0.027,6.666666666666667e-05,0.0002666666666666667,0.0002,0.0005333333333333334,0.0004,0.0019333333333333331,0.0244
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0+MinAtar/Seaquest-v0+MinAtar/Freeway-v0,0.004933333333333334,0.010733333333333333,0.00046666666666666666,6.666666666666667e-05,0.0003333333333333333,0.0006666666666666666,0.0029999999999999996,0.007133333333333334,0.02,0.0002666666666666667,0.001,0.0008,0.00039999999999999996,0.0016666666666666668,0.007933333333333334,0.023266666666666668,0.044000000000000004,0.00046666666666666666,0.00019999999999999998,0.0015999999999999999,0.00039999999999999996,0.002933333333333333,0.008866666666666667,0.0578,0.00046666666666666666,0.0004,0.0006666666666666666,0.0005333333333333333,0.0006666666666666666,0.012000000000000002,0.06913333333333334
MinAtar/Asterix-v0+MinAtar/Freeway-v0,0.0078000000000000005,0.014266666666666669,6.666666666666667e-05,0.00019999999999999998,0.00013333333333333334,0.00039999999999999996,0.003133333333333333,0.0024,0.01746666666666667,0.0002666666666666667,0.00013333333333333334,0.0005333333333333334,0.00013333333333333334,0.0028,0.0036666666666666666,0.017733333333333334,0.05126666666666666,0.00013333333333333334,0.0,0.0007333333333333332,0.00013333333333333334,0.002133333333333333,0.005333333333333333,0.056466666666666665,0.0003333333333333333,0.0004,0.00013333333333333334,0.00046666666666666666,0.0003333333333333333,0.0019333333333333336,0.04753333333333334
MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Breakout-v0,0.006733333333333333,0.0112,0.0018000000000000002,0.0026666666666666666,0.001,6.666666666666667e-05,0.0038,0.005533333333333334,0.013733333333333334,0.0013333333333333333,0.0007999999999999999,0.0003333333333333333,0.00019999999999999998,0.004,0.004733333333333333,0.015533333333333331,0.04186666666666666,0.0008666666666666666,0.0008666666666666666,0.00019999999999999998,0.0014666666666666667,0.0038,0.005399999999999999,0.04053333333333333,0.0007333333333333333,0.0014,0.0,0.0011333333333333334,0.0008666666666666666,0.0029333333333333334,0.034999999999999996
MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0,0.0052,0.006866666666666667,0.00039999999999999996,0.0003333333333333333,6.666666666666667e-05,0.0006666666666666666,0.004066666666666666,0.006866666666666667,0.015466666666666668,0.00019999999999999998,0.0005333333333333334,0.0008,6.666666666666667e-05,0.003533333333333333,0.008,0.013666666666666666,0.016866666666666665,0.00019999999999999998,6.666666666666667e-05,0.0011333333333333334,0.00019999999999999998,0.002466666666666667,0.010733333333333333,0.03013333333333333,0.00013333333333333334,0.0005333333333333334,0.00046666666666666666,0.0008666666666666667,0.0007333333333333333,0.013266666666666668,0.0354
MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,0.005866666666666666,0.010466666666666666,0.0,0.0,0.0,0.0,0.0031333333333333335,0.0051333333333333335,0.014466666666666668,0.0,0.0,0.0003333333333333333,0.0,0.0022666666666666664,0.005,0.0118,0.04293333333333333,0.0,0.0,0.0003333333333333333,0.0,0.0028,0.010133333333333333,0.03886666666666667,0.0,0.0,0.0,0.00013333333333333334,6.666666666666667e-05,0.01,0.04066666666666666
MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,0.005,0.007866666666666666,0.0028666666666666667,0.0037333333333333333,0.00046666666666666666,0.0031333333333333335,0.0029999999999999996,0.004066666666666667,0.008333333333333333,0.0012666666666666666,0.002466666666666667,0.0024666666666666665,0.0024666666666666665,0.0022666666666666664,0.0032666666666666664,0.007066666666666666,0.0176,0.0030000000000000005,0.0028666666666666667,0.0005333333333333334,0.0003333333333333333,0.0042,0.005533333333333332,0.009133333333333332,0.0021333333333333334,0.003933333333333333,0.005466666666666666,0.0042,0.00046666666666666666,0.0030666666666666668,0.008066666666666666
