train_team,1,1+3,1+3+4,1+3+4+5,1+3+4+5+6,1+3+4+5+6+7,1+3+4+5+7,1+3+4+6,1+3+4+6+7,1+3+4+7,1+3+5,1+3+5+6,1+3+5+6+7,1+3+5+7,1+3+6,1+3+6+7,1+3+7,1+4,1+4+5,1+4+5+6,1+4+5+6+7,1+4+5+7,1+4+6,1+4+6+7,1+4+7,1+5,1+5+6,1+5+6+7,1+5+7,1+6,1+6+7,1+7,3,3+4,3+4+5,3+4+5+6,3+4+5+6+7,3+4+5+7,3+4+6,3+4+6+7,3+4+7,3+5,3+5+6,3+5+6+7,3+5+7,3+6,3+6+7,3+7,4,4+5,4+5+6,4+5+6+7,4+5+7,4+6,4+6+7,4+7,5,5+6,5+6+7,5+7,6,6+7,7
1+3+5,0.9309999942779541,0.7838000059127808,0.5225333213806153,0.5596500039100647,0.4477200090885162,0.3731000065803528,0.4477200090885162,0.3919000029563904,0.3135199964046478,0.3919000029563904,0.7462000131607056,0.5596500039100647,0.4477200090885162,0.5596500039100647,0.5225333213806153,0.3919000029563904,0.5225333213806153,0.46549999713897705,0.5340000033378601,0.40049999952316284,0.3203999996185303,0.40049999952316284,0.31033333539962765,0.23274999856948853,0.31033333539962765,0.8009999990463257,0.5340000033378601,0.40049999952316284,0.5340000033378601,0.46549999713897705,0.31033333539962765,0.46549999713897705,0.6366000056266785,0.31830000281333926,0.4358666718006134,0.32690000534057617,0.26151999235153195,0.32690000534057617,0.21220000088214874,0.15915000140666957,0.21220000088214874,0.6538000106811523,0.4358666718006134,0.32690000534057617,0.4358666718006134,0.31830000281333926,0.21220000088214874,0.31830000281333926,0.0,0.3354999959468842,0.2236666649580002,0.16774999797344203,0.2236666649580002,0.0,0.0,0.0,0.6709999918937684,0.3354999959468842,0.2236666649580002,0.3354999959468842,0.0,0.0,0.0
1+3+5+6,0.9129999995231628,0.7249000072479248,0.48326666951179503,0.5277999997138977,0.5839200019836426,0.486599999666214,0.42224000096321107,0.5645500063896179,0.45163999795913695,0.3624500036239624,0.7037333250045776,0.7299000024795532,0.5839200019836426,0.5277999997138977,0.752733337879181,0.5645500063896179,0.48326666951179503,0.4564999997615814,0.5248000025749207,0.5956999897956848,0.47655999660491943,0.3936000049114227,0.573799991607666,0.43035000562667847,0.30433332920074463,0.7872000098228454,0.794266676902771,0.5956999897956848,0.5248000025749207,0.8607000112533569,0.573799991607666,0.4564999997615814,0.5367999911308289,0.26839999556541444,0.399399995803833,0.5016500055789948,0.4013200044631958,0.29954999685287476,0.4483999967575073,0.33629999756813045,0.1789333343505859,0.5990999937057495,0.6688666582107544,0.5016500055789948,0.399399995803833,0.672599995136261,0.4483999967575073,0.26839999556541444,0.0,0.33069999814033507,0.48993333578109743,0.3674499988555908,0.22046666443347926,0.40419999957084657,0.2694666624069214,0.0,0.6613999962806701,0.7348999977111816,0.48993333578109743,0.33069999814033507,0.8083999991416931,0.40419999957084657,0.0
1+3+5+6+7,0.9052000045776367,0.7082000017166138,0.47213332653045653,0.4896500051021576,0.5517199873924256,0.5851666688919067,0.5422000050544739,0.5540999889373779,0.5937600016593934,0.5422000050544739,0.6528666615486145,0.689650011062622,0.7022000074386596,0.6777499914169312,0.7388000011444091,0.7422000050544739,0.7229333281517029,0.45260000228881836,0.48246666193008425,0.5618500113487244,0.5999600172042847,0.5499499917030335,0.5684000134468079,0.6144000053405761,0.5525333523750305,0.7236999988555908,0.7491333365440369,0.7499500036239624,0.7332666754722595,0.8525999903678894,0.8191999912261962,0.8287999868392945,0.5112000107765198,0.2556000053882599,0.35113334059715273,0.46334999799728394,0.5211599946022034,0.4514500081539154,0.43706666827201845,0.5158999919891357,0.4211999952793121,0.5267000019550323,0.6178000092506408,0.6514500141143799,0.6019333362579345,0.6555999994277955,0.6878666639328003,0.6317999958992004,0.0,0.2711000025272369,0.44739999771118166,0.5236500024795532,0.43153333067893984,0.4,0.51746666431427,0.37620000243186946,0.5422000050544739,0.6710999965667724,0.6981999993324279,0.6472999930381775,0.8,0.7762000083923339,0.752400004863739
1+3+5+7,0.9110000014305115,0.7574999928474426,0.5049999952316284,0.528599989414215,0.4228799998760223,0.4747333347797394,0.5696799993515015,0.37874999642372126,0.4497999966144562,0.5622499942779541,0.7047999978065491,0.528599989414215,0.5696799993515015,0.7120999932289124,0.5049999952316284,0.5622499942779541,0.7496666669845581,0.45550000071525576,0.503466671705246,0.3775999963283539,0.44887999892234803,0.5611000061035156,0.3036666631698608,0.4112500011920929,0.5483333468437195,0.7551999926567078,0.503466671705246,0.5611000061035156,0.7481333494186402,0.45550000071525576,0.5483333468437195,0.8225000023841857,0.6039999961853028,0.3019999980926514,0.4011333346366882,0.30084999799728396,0.3874800026416778,0.4843499958515167,0.20133333206176754,0.33450000286102294,0.4459999978542328,0.6016999959945679,0.4011333346366882,0.4843499958515167,0.6458000063896179,0.3019999980926514,0.4459999978542328,0.6690000057220459,0.0,0.299700003862381,0.19979999959468836,0.33335000872612,0.4444666624069214,0.0,0.2446666687726974,0.36700000166893004,0.599400007724762,0.299700003862381,0.4444666624069214,0.66670001745224,0.0,0.36700000166893004,0.7340000033378601
1+3+6,0.9194000124931335,0.8774999976158142,0.5849999904632568,0.4387499988079071,0.5156399846076966,0.42970000505447387,0.3509999990463257,0.6445499897003174,0.5156399846076966,0.4387499988079071,0.5849999904632568,0.6445499897003174,0.5156399846076966,0.4387499988079071,0.8594000101089477,0.6445499897003174,0.5849999904632568,0.45970000624656676,0.306466668844223,0.4356499969959259,0.34852000474929806,0.22985000312328335,0.5808666706085205,0.4356499969959259,0.306466668844223,0.45970000624656676,0.5808666706085205,0.4356499969959259,0.306466668844223,0.8712999939918518,0.5808666706085205,0.45970000624656676,0.8355999946594238,0.4177999973297119,0.27853333950042725,0.4147000014781952,0.33176000118255616,0.20889999866485592,0.5529333233833313,0.4147000014781952,0.27853333950042725,0.4177999973297119,0.5529333233833313,0.4147000014781952,0.27853333950042725,0.8294000029563904,0.5529333233833313,0.4177999973297119,0.0,0.0,0.27440000176429746,0.2057999968528747,0.0,0.4115999937057495,0.27440000176429746,0.0,0.0,0.4115999937057495,0.27440000176429746,0.0,0.823199987411499,0.4115999937057495,0.0
1+3+6+7,0.898800003528595,0.7894999980926514,0.5263333201408387,0.39474999904632563,0.47667999267578126,0.5353000044822693,0.4814800024032593,0.5958499908447266,0.64235999584198,0.6018499970436096,0.5263333201408387,0.5958499908447266,0.64235999584198,0.6018499970436096,0.7944666743278503,0.8029500007629394,0.8024666666984558,0.4494000017642975,0.29959999918937685,0.4258000016212463,0.5063200116157531,0.43179999589920043,0.5677333354949952,0.6328999876976014,0.5757333278656006,0.4494000017642975,0.5677333354949952,0.6328999876976014,0.5757333278656006,0.8516000032424926,0.8438666582107544,0.8635999917984009,0.6801999926567077,0.34009999632835386,0.22673333585262295,0.37114999294281004,0.46259999871253965,0.3771499991416931,0.4948666751384735,0.578249990940094,0.5028666734695435,0.34009999632835386,0.4948666751384735,0.578249990940094,0.5028666734695435,0.7422999858856201,0.7709999918937683,0.7542999982833862,0.0,0.0,0.26813333034515374,0.40820000171661375,0.2761333346366882,0.4022000014781952,0.5442666649818421,0.41419999599456786,0.0,0.4022000014781952,0.5442666649818421,0.41419999599456786,0.8044000029563904,0.8164000034332275,0.8283999919891357
1+3+7,0.9329999923706055,0.8777999997138977,0.5851999998092652,0.43889999985694883,0.35112000107765196,0.43106666803359983,0.5172800064086914,0.43889999985694883,0.5172800064086914,0.6465999841690063,0.5851999998092652,0.43889999985694883,0.5172800064086914,0.6465999841690063,0.5851999998092652,0.6465999841690063,0.8621333360671997,0.46649999618530275,0.3110000014305115,0.23324999809265132,0.35275999903678895,0.4409500002861023,0.3110000014305115,0.4409500002861023,0.587933337688446,0.46649999618530275,0.3110000014305115,0.4409500002861023,0.587933337688446,0.46649999618530275,0.587933337688446,0.8819000005722046,0.822599995136261,0.4112999975681305,0.27419999837875364,0.2056499987840652,0.33068000078201293,0.4133500039577484,0.27419999837875364,0.4133500039577484,0.5511333346366882,0.4112999975681305,0.27419999837875364,0.4133500039577484,0.5511333346366882,0.4112999975681305,0.5511333346366882,0.8267000079154968,0.0,0.0,0.0,0.2077000021934509,0.27693333625793454,0.0,0.27693333625793454,0.41540000438690183,0.0,0.0,0.27693333625793454,0.41540000438690183,0.0,0.41540000438690183,0.8308000087738037
1+4,0.9627999901771546,0.4813999950885773,0.6417999982833862,0.4813499987125397,0.3850800037384033,0.3208999991416931,0.3850800037384033,0.4813499987125397,0.3850800037384033,0.4813499987125397,0.3209333300590515,0.24069999754428859,0.192560002207756,0.24069999754428859,0.3209333300590515,0.24069999754428859,0.3209333300590515,0.9626999974250794,0.6417999982833862,0.4813499987125397,0.3850800037384033,0.4813499987125397,0.6417999982833862,0.4813499987125397,0.6417999982833862,0.4813999950885773,0.3209333300590515,0.24069999754428859,0.3209333300590515,0.4813999950885773,0.3209333300590515,0.4813999950885773,0.0,0.4812999963760376,0.32086666822433474,0.2406499981880188,0.19252000153064724,0.2406499981880188,0.32086666822433474,0.2406499981880188,0.32086666822433474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9625999927520752,0.4812999963760376,0.32086666822433474,0.2406499981880188,0.32086666822433474,0.4812999963760376,0.32086666822433474,0.4812999963760376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1+4+5,0.9212000012397766,0.4606000006198883,0.5832000136375427,0.6408500075340271,0.5126799941062927,0.4272333323955536,0.5126799941062927,0.4374000012874603,0.34991999864578244,0.4374000012874603,0.5783333420753479,0.4337500035762787,0.3470000028610229,0.4337500035762787,0.30706666707992547,0.2303000003099441,0.30706666707992547,0.8748000025749206,0.8544666647911072,0.6408500075340271,0.5126799941062927,0.6408500075340271,0.5832000136375427,0.4374000012874603,0.5832000136375427,0.8675000071525574,0.5783333420753479,0.4337500035762787,0.5783333420753479,0.4606000006198883,0.30706666707992547,0.4606000006198883,0.0,0.41419999599456786,0.5474000096321106,0.4105499923229218,0.32843999266624446,0.4105499923229218,0.2761333286762237,0.2070999979972839,0.2761333286762237,0.4069000005722046,0.27126666903495783,0.20345000028610224,0.27126666903495783,0.0,0.0,0.0,0.8283999919891357,0.8210999846458436,0.5474000096321106,0.4105499923229218,0.5474000096321106,0.41419999599456786,0.2761333286762237,0.41419999599456786,0.8138000011444092,0.4069000005722046,0.27126666903495783,0.4069000005722046,0.0,0.0,0.0
1+4+5+6,0.9203999876976013,0.46019999384880067,0.5409333348274231,0.5995000004768372,0.6417999982833862,0.5348333239555358,0.4796000003814697,0.6084500074386596,0.48676000237464906,0.4056999981403351,0.5652000069618225,0.6266499996185303,0.5013200044631958,0.42389999628067015,0.5771333336830139,0.4328499972820282,0.30680000185966494,0.8113999962806702,0.7993333339691162,0.8022500038146972,0.6417999982833862,0.5995000004768372,0.8112666606903076,0.6084500074386596,0.5409333348274231,0.8477999925613403,0.835533332824707,0.6266499996185303,0.5652000069618225,0.8656999945640564,0.5771333336830139,0.46019999384880067,0.0,0.351199996471405,0.4925333261489868,0.5721500039100647,0.45771999955177306,0.36939999461174006,0.5044666707515717,0.3783499956130981,0.23413333296775818,0.3875999927520752,0.5287333488464355,0.3965499997138977,0.25840000510215755,0.4055000007152557,0.27033333182334895,0.0,0.7023999929428101,0.7387999892234802,0.7628666520118713,0.5721500039100647,0.4925333261489868,0.7566999912261962,0.5044666707515717,0.351199996471405,0.7751999855041504,0.7930999994277954,0.5287333488464355,0.3875999927520752,0.8110000014305114,0.4055000007152557,0.0
